Date,Open,High,Low,Close,Adj Close,Volume
2016-06-23,1.620000,1.630000,1.610000,1.610000,1.438294,2155600
2016-06-24,1.630000,1.630000,1.600000,1.630000,1.456161,986800
2016-06-27,1.630000,1.650000,1.620000,1.620000,1.447228,1519600
2016-06-28,1.630000,1.690000,1.630000,1.660000,1.482962,3868200
2016-06-29,1.660000,1.670000,1.640000,1.660000,1.482962,2560400
2016-06-30,1.660000,1.660000,1.650000,1.660000,1.482962,1125500
2016-07-01,1.670000,1.670000,1.630000,1.670000,1.491895,918100
2016-07-04,1.670000,1.680000,1.640000,1.650000,1.474028,106100
2016-07-05,1.660000,1.690000,1.660000,1.690000,1.509762,129300
2016-07-06,1.690000,1.690000,1.690000,1.690000,1.509762,0
2016-07-07,1.690000,1.690000,1.690000,1.690000,1.509762,0
2016-07-08,1.670000,1.680000,1.640000,1.650000,1.474028,3234300
2016-07-11,1.660000,1.690000,1.650000,1.690000,1.509762,343300
2016-07-12,1.690000,1.700000,1.680000,1.700000,1.518695,5580800
2016-07-13,1.700000,1.770000,1.680000,1.740000,1.554430,5788300
2016-07-14,1.740000,1.750000,1.700000,1.740000,1.554430,6727000
2016-07-15,1.710000,1.770000,1.710000,1.730000,1.545496,4139800
2016-07-18,1.710000,1.730000,1.680000,1.720000,1.536563,2756600
2016-07-19,1.710000,1.710000,1.690000,1.700000,1.518695,558300
